CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_Missing,WarehouseToHome_Missing,HourSpendOnApp_Missing,OrderCount_Missing,CouponUsed_Missing,OrderAmountHike_Missing,Tenure_Bucket,Recency_Bucket,Order_Frequency_Bucket,Risk_Score
50001,1,4.0,Mobile Phone,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,1,11.0,1.0,1.0,5.0,159.93,0,0,0,0,0,0,0-6mo,3-7 days,Low (1-2),2
50002,1,9.0,Mobile Phone,1,8.0,UPI,Male,3.0,4,Mobile Phone,3,Single,7,1,15.0,0.0,1.0,0.0,120.9,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),2
50003,1,9.0,Mobile Phone,1,30.0,Debit Card,Male,2.0,4,Mobile Phone,3,Single,6,1,14.0,0.0,1.0,3.0,120.28,1,0,0,0,0,0,6-12mo,3-7 days,Low (1-2),2
50004,1,0.0,Mobile Phone,3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,0,23.0,0.0,1.0,3.0,134.07,0,0,0,0,0,0,0-6mo,3-7 days,Low (1-2),1
50005,1,0.0,Mobile Phone,1,12.0,Credit Card,Male,3.0,3,Mobile Phone,5,Single,3,0,11.0,1.0,1.0,3.0,129.6,0,0,1,0,0,0,0-6mo,3-7 days,Low (1-2),2
50006,1,0.0,Computer,1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,1,22.0,4.0,6.0,7.0,139.19,0,0,0,0,0,0,0-6mo,3-7 days,High (6+),3
50007,1,9.0,Mobile Phone,3,11.0,COD,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,14.0,0.0,1.0,0.0,120.86000000000001,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),0
50008,1,9.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,3,1,16.0,2.0,2.0,0.0,122.93,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),2
50009,1,13.0,Mobile Phone,3,9.0,E-Wallet,Male,3.0,4,Mobile Phone,3,Divorced,2,1,14.0,0.0,1.0,2.0,126.83000000000001,0,0,1,0,0,0,1-2yr,0-2 days,Low (1-2),2
50010,1,9.0,Mobile Phone,1,31.0,Debit Card,Male,2.0,5,Mobile Phone,3,Single,2,0,12.0,1.0,1.0,1.0,122.93,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),1
50011,1,4.0,Mobile Phone,1,18.0,COD,Female,2.0,3,Others,3,Divorced,2,0,15.0,9.0,15.0,8.0,295.45,0,0,0,0,0,1,0-6mo,8-15 days,High (6+),1
50012,1,11.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,153.81,0,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),1
50013,1,0.0,Mobile Phone,1,11.0,COD,Male,2.0,3,Mobile Phone,3,Single,2,1,13.0,2.0,2.0,2.0,134.41,0,0,0,0,0,0,0-6mo,0-2 days,Low (1-2),3
50014,1,0.0,Mobile Phone,1,15.0,Credit Card,Male,3.0,4,Mobile Phone,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88,0,0,0,0,0,0,0-6mo,0-2 days,Low (1-2),3
50015,1,9.0,Mobile Phone,3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,0,16.0,0.0,4.0,7.0,196.19,0,0,0,0,0,0,6-12mo,3-7 days,Medium (3-5),0
50016,1,9.0,Mobile Phone,2,12.0,UPI,Male,3.0,3,Mobile Phone,5,Married,5,1,22.0,1.0,1.0,2.0,120.72999999999999,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),2
50017,1,0.0,Computer,1,12.0,Debit Card,Female,3.0,4,Mobile Phone,2,Single,2,1,18.0,1.0,1.0,0.0,129.26,0,0,1,0,0,0,0-6mo,0-2 days,Low (1-2),3
50018,1,0.0,Mobile Phone,3,11.0,E-Wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,3.0,157.44,0,0,0,0,0,0,0-6mo,3-7 days,Low (1-2),2
50019,1,0.0,Computer,1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,1,24.0,1.0,1.0,6.0,160.74,0,0,0,0,0,0,0-6mo,3-7 days,Low (1-2),2
50020,1,19.0,Mobile Phone,1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,1,18.0,1.0,4.0,3.0,149.63,0,0,0,0,0,0,1-2yr,3-7 days,Medium (3-5),2
50021,1,0.0,Mobile Phone,3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,1,18.0,6.0,7.0,7.0,161.72,0,0,0,0,0,0,0-6mo,3-7 days,High (6+),2
50022,1,20.0,Mobile Phone,1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,0,12.0,11.0,15.0,6.0,203.12,0,0,0,0,0,0,1-2yr,3-7 days,High (6+),0
50023,1,9.0,Mobile Phone,3,28.0,E-Wallet,Male,2.0,3,Mobile Phone,3,Single,2,1,19.0,0.0,1.0,0.0,116.75,1,0,0,0,0,0,6-12mo,0-2 days,Low (1-2),2
50024,1,0.0,Mobile Phone,3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,1,11.0,1.0,2.0,2.0,145.59,0,0,0,0,0,0,0-6mo,0-2 days,Low (1-2),2
50025,1,14.0,Computer,1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,0,15.0,0.0,1.0,3.0,206.5,0,0,0,0,0,0,1-2yr,3-7 days,Low (1-2),0
50026,1,0.0,Mobile Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,0,22.0,1.0,1.0,4.0,142.0,0,0,0,0,0,0,0-6mo,3-7 days,Low (1-2),2
50027,0,8.0,Mobile Phone,3,6.0,E-Wallet,Male,3.0,3,Fashion,4,Divorced,2,0,13.0,1.0,1.0,6.0,172.95,0,0,0,0,0,0,6-12mo,3-7 days,Low (1-2),0
50028,0,9.0,Mobile Phone,3,12.0,E-Wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,20.0,0.0,4.0,5.0,123.06,1,0,0,0,0,0,6-12mo,3-7 days,Medium (3-5),1
50029,0,18.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,0,18.0,1.0,1.0,15.0,123.47999999999999,0,1,0,0,0,0,1-2yr,8-15 days,Low (1-2),0
50030,0,5.0,Computer,3,14.0,E-Wallet,Female,2.0,3,Fashion,2,Single,2,0,14.0,2.0,3.0,7.0,189.98,0,0,0,0,0,0,0-6mo,3-7 days,Medium (3-5),1
50031,0,2.0,Computer,1,6.0,COD,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,13.0,0.0,1.0,9.0,143.19,0,0,0,0,0,0,0-6mo,8-15 days,Low (1-2),1
